"id"	"old_artnr"	"artnr"	"overartnr"	"artnavn"	"latin"	"english"	"dk"	"datsy"	"arttype"	"sortering"	"hbw"	"iucn"	"redlist"	"yellowlist"	"bilag_1"	"spec"	"KOORDINATORID"	"sv"	"pkt"	"ibaantal"	"shortcut1"	"shortcut2"	"fra"	"til"	"season"	"vis"
3727	NA	"01794"	NA	"Pibeand x Gråand (hybrid)"	"Mareca penelope x Anas platyrhynchos"	"Eurasian Wigeon x Mallard"	"H"	0	"hybrid"	1030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3728	NA	"01843"	NA	"Krikand x Gråand (hybrid)"	"Anas crecca x A. platyrhynchos"	"Eurasian Teal x Mallard"	"H"	0	"hybrid"	1150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3729	NA	"01868"	NA	"Gråand x Troldand (hybrid)"	"Anas platyrhynchos x Aythya fuligula"	"Mallard x Tufted Duck"	"H"	0	"hybrid"	1100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3730	NA	"01948"	NA	"Skeand x Gråand (hybrid)"	"Spatula clypeata x Anas platyrhynchos"	"Northern Shoveler x Mallard"	"H"	0	"hybrid"	950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3731	NA	"05758"	NA	"Sorthovedet Måge x Hættemåge (hybrid)"	"Ichthyaetus melanocephalus x Chroicocephalus ridibundus"	"Mediterranean Gull x Black-headed Gull"	"H"	0	"hybrid"	3630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3732	"06950"	"06950"	"06950"	"Sørgedue"	"Zenaida macroura"	"Mourning Dove"	"AU"	0	"art"	1510	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3733	NA	"MA212"	"MA212"	"Pipistrelflagermus"	"Pipistrellus pipistrellus"	"Common Pipistrelle"	"X"	0	"andre_dyr"	10540	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3734	NA	"MA312"	"MA312"	"Dværgflagermus"	"Pipistrellus pygmaeus"	"Soprano Pipistrelle"	"X"	0	"andre_dyr"	10550	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3735	NA	"01695"	"01695"	"Magellangås"	"Chloephaga picta"	"Upland Goose"	"E"	0	"art"	680	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3736	NA	"01697"	"01697"	"Tanggås"	"Chloephaga hybrida"	"Kelp Goose"	"E"	0	"art"	690	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
3737	NA	"01947"	NA	"Skeand x Knarand (hybrid)"	"Spatula clypeata x Mareca strepera"	"Northern Shoveler x Gadwall"	"H"	0	"hybrid"	940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3738	NA	"18870"	"18870"	"Rosenbrystet Kernebider"	"Pheucticus ludovicianus"	"Rose-breasted Grosbeak"	"AU"	0	"art"	7770	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3740	"05960"	"05960"	"05960"	"Gråvinget Måge"	"Larus glaucescens"	"Glaucous-winged Gull"	"AU"	0	"art"	3880	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3741	"04660"	"04660"	"04660"	"Orientbraksvale"	"Glareola maldivarum"	"Oriental Pratincole"	"AU"	0	"art"	3250	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3742	"07970"	"07970"	"07970"	"Orientsejler"	"Apus pacificus"	"Pacific Swift"	"AU"	0	"art"	1590	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3743	"11570"	"11570"	"11570"	"Hvidkronet Stenpikker"	"Oenanthe leucopyga"	"White-crowned Wheatear"	"AU"	0	"art"	6740	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3747	NA	"09019"	NA	"Spætte sp."	"Picidae"	"Woodpecker sp."	"H"	0	"ubestemt"	4790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3749	"16330"	"16330"	"16330"	"Rødøjet Vireo"	"Vireo olivaceus"	"Red-eyed Vireo"	"AU"	0	"art"	5050	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3750	NA	"07135"	"07135"	"Stor Alexanderparakit"	"Psittacula eupatria"	"Alexandrine Parakeet"	"E"	0	"art"	5010	NA	"NT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3751	NA	"01679"	NA	"Bramgås x Rødhalset Gås (hybrid)"	"Branta leucopsis x B. ruficollis"	"Barnacle Goose x Red-breasted Goose"	"H"	0	"hybrid"	170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3752	NA	"01678"	NA	"Bramgås x Dværggås (hybrid)"	"Branta leucopsis x Anser erythropus"	"Barnacle Goose x Lesser White-fronted Goose"	"H"	0	"hybrid"	160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3753	NA	"01867"	NA	"Gråand x Ederfugl (hybrid)"	"Anas platyrhynchos x Somateria mollissima"	"Mallard x Common Eider"	"H"	0	"hybrid"	1090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3754	NA	"01615"	NA	"Grågås x Blisgås (hybrid)"	"Anser anser x A. albifrons"	"Greylag Goose x Greater White-fronted Goose"	"H"	0	"hybrid"	330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3755	NA	"02063"	"02060"	"Ederfugl, Arktisk (ssp. borealis)"	"Somateria mollissima borealis"	"Common Eider (ssp. borealis)"	"AU"	0	"underart"	480	NA	"NT"	"NT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3756	NA	"10179"	"10170"	"Gul Vipstjert, Almindelig x Gulhovedet (hybrid)"	"Motacilla flava flava x M. f. flavissima"	"Western Yellow Wagtail (flava x flavissima)"	"H"	0	"hybrid"	7150	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3757	NA	"LE094"	"LE094"	"Ilia"	"Apatura ilia"	"Lesser Purple Emperor"	"X"	0	"andre_dyr"	8950	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	"ILIA"	"ILIA"	NA	NA	NA	0
3758	NA	"05679"	NA	"Almindelig Kjove/Lille Kjove"	"Stercorarius parasiticus/S. longicaudus"	"Parasitic Jaeger/Long-tailed Jaeger"	"H"	0	"ubestemt"	3470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3759	"11020"	"11020"	"11020"	"Dværgnattergal"	"Larvivora sibilans"	"Rufous-tailed Robin"	"AU"	0	"art"	6410	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"MANCHU"	"MANCHU"	NA	NA	NA	0
3760	"MA082"	"MA082"	"MA082"	"Ulv"	"Canis lupus"	"Wolf"	"X"	0	"andre_dyr"	10420	NA	NA	"VU"	NA	NA	NA	NA	NA	NA	NA	"ULV"	"ULV"	NA	NA	NA	0
3761	"07920"	"07920"	"07920"	"Tornhalesejler"	"Hirundapus caudacutus"	"White-throated Needletail"	"AU"	0	"art"	1570	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"TORNHA"	"TORNHA"	NA	NA	NA	0
3762	"11770"	"11770"	"11770"	"Olivenskovdrossel"	"Catharus ustulatus"	"Swainson's Thrush"	"AU"	0	"art"	6760	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"OLIVDR"	"OLIVDR"	NA	NA	NA	0
3763	NA	"35670"	"35670"	"Påfugl"	"Pavo cristatus"	"Indian Peafowl"	"E"	0	"art"	1270	NA	"LC"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3764	NA	"02153"	"02153"	"Amerikansk Fløjlsand"	"Melanitta deglandi"	"White-winged Scoter"	"AU"	0	"art"	530	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"R DEGL"	"R DEGL"	NA	NA	NA	0
3765	NA	"02078"	NA	"Kongeederfugl x Ederfugl (hybrid)"	"Somateria spectabilis x S. mollissima"	"King Eider x Common Eider"	"H"	0	"hybrid"	460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"H KOED"	"H KOED"	NA	NA	NA	0
3766	NA	"01946"	NA	"Skeand x Blåvinget And (hybrid)"	"Spatula clypeata x S. discors"	"Northern Shoveler x Blue-winged Teal"	"HU"	0	"hybrid"	930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SKEBLA"	"SKEBLA"	NA	NA	NA	0
3767	"04360"	"04360"	"04360"	"Prærietrane"	"Antigone canadensis"	"Sandhill Crane"	"AU"	0	"art"	1770	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"PRÆTRA"	"PRÆTRA"	NA	NA	NA	0
3768	NA	"02450"	"02450"	"Beringshavørn"	"Haliaeetus pelagicus"	"Steller's Sea Eagle"	"EU"	0	"art"	4390	NA	"VU"	NA	NA	NA	NA	NA	NA	NA	NA	"BERHAV"	"BERHAV"	NA	NA	NA	0
3769	"04870"	"04870"	"04870"	"Sporevibe"	"Vanellus spinosus"	"Spur-winged Lapwing"	"EU"	0	"art"	2600	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"SPOVIB"	"SPOVIB"	NA	NA	NA	0
3770	NA	"05850"	"05850"	"Tyndnæbbet Måge"	"Chroicocephalus genei"	"Slender-billed Gull"	"AU"	0	"art"	3550	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3771	NA	"03550"	"03550"	"Chukarhøne"	"Alectoris chukar"	"Chukar Partridge"	"E"	0	"art"	1220	NA	"LC"	"NA"	NA	NA	NA	NA	NA	NA	NA	"CHUKAR"	"CHUKAR"	NA	NA	NA	0
3772	"11950"	"11950"	"11950"	"Gråstrubet Drossel"	"Turdus obscurus"	"Eyebrowed Thrush"	"AU"	0	"art"	6840	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3773	NA	"16420"	"16420"	"Kanariefugl"	"Serinus canaria"	"Atlantic Canary"	"E"	0	"art"	7540	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3774	NA	"40010"	"40010"	"Nymfeparakit"	"Nymphicus hollandicus"	"Cockatiel"	"E"	0	"art"	4990	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3775	NA	"40000"	"40000"	"Undulat"	"Melopsittacus undulatus"	"Budgerigar"	"E"	0	"art"	5000	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3776	NA	"12910"	"12910"	"Grøn Sanger"	"Phylloscopus nitidus"	"Green Warbler"	"AU"	0	"art"	6020	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3777	NA	"LE248"	"LE248"	"Skræpperodæder"	"Triodia sylvina"	"Orange Swift"	"X"	0	"andre_dyr"	9450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3778	NA	"LE249"	"LE249"	"Konvalrodæder"	"Pharmacis lupulina"	"Common Swift"	"X"	0	"andre_dyr"	9460	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3779	"LE250"	"LE250"	"LE250"	"Blodplet"	"Tyria jacobaeae"	"Cinnabar Moth"	"X"	0	"andre_dyr"	9470	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	"BLODPL"	"BLODPL"	NA	NA	NA	0
3780	NA	"LE251"	"LE251"	"Okkergul Bladmåler"	"Camptogramma bilineata"	"Yellow Shell"	"X"	0	"andre_dyr"	9480	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3781	NA	"LE252"	"LE252"	"Hvidvingemåler"	"Siona lineata"	"Black-veined Moth"	"X"	0	"andre_dyr"	9490	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3782	NA	"LE253"	"LE253"	"Sort Måler"	"Odezia atrata"	"Chimney Sweeper"	"X"	0	"andre_dyr"	9500	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3783	NA	"LE254"	"LE254"	"Syremåler"	"Timandra comae"	"Blood-vein"	"X"	0	"andre_dyr"	9510	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3784	NA	"LE255"	"LE255"	"Vinkelengmåler"	"Idaea aversata"	"Riband Wave"	"X"	0	"andre_dyr"	9520	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3785	NA	"LE256"	"LE256"	"Almindelig Spidsvingemåler"	"Scotopteryx chenopodiata"	"Shaded Broad-bar"	"X"	0	"andre_dyr"	9530	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3786	NA	"LE257"	"LE257"	"Frugttræ-Barkmåler"	"Peribatodes rhomboidaria"	"Willow Beauty"	"X"	0	"andre_dyr"	9540	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3787	NA	"LE258"	"LE258"	"Natsvalehale"	"Ourapteryx sambucaria"	"Swallow-tailed Moth"	"X"	0	"andre_dyr"	9550	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3788	NA	"LE259"	"LE259"	"Rodugle"	"Apamea monoglypha"	"Dark Arches"	"X"	0	"andre_dyr"	9560	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3789	NA	"LE260"	"LE260"	"Agatugle"	"Phlogophora meticulosa"	"Angle Shades"	"X"	0	"andre_dyr"	9570	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3790	NA	"LE261"	"LE261"	"Næbugle"	"Hypena proboscidalis"	"The Snout"	"X"	0	"andre_dyr"	9580	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3791	NA	"LE262"	"LE262"	"Husmoderugle"	"Scoliopteryx libatrix"	"The Herald"	"X"	0	"andre_dyr"	9590	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3792	NA	"02749"	NA	"Høg sp."	"Accipiter sp."	"Hawk sp."	"H"	0	"ubestemt"	4370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3793	NA	"02559"	NA	"Grib sp."	"Gypeatus/Gyps/Aegypticus/Neophron sp."	"Vulture sp."	"HU"	0	"ubestemt"	4170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3794	NA	"01969"	NA	"Rødhovedet And x Taffeland (hybrid)"	"Netta rufina x Aythya ferina"	"Red-crested Pochard x Common Pochard"	"H"	0	"hybrid"	760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3795	NA	"02619"	NA	"Blå Kærhøg x Steppehøg (hybrid)"	"Circus cyaneus x C. macrourus"	"Hen Harrier x Pallid Harrier"	"H"	0	"hybrid"	4300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3796	"13050"	"13050"	"13050"	"Sinkiangløvsanger"	"Phylloscopus griseolus"	"Sulphur-bellied warbler"	"AU"	0	"art"	5890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3797	"00461"	"00465"	"00465"	"Ægæerskråpe"	"Puffinus yelkouan"	"Yelkouan Shearwater"	"U"	0	"art"	2060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3798	NA	"10181"	NA	"Citronvipstjert x Gul Vipstjert (hybrid)"	"Motacilla citreola x M. flava"	"Citrine Wagtail x Western Yellow Wagtail"	"H"	0	"hybrid"	7180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3799	NA	"03930"	"03930"	"Kongefasan"	"Syrmaticus reevesii"	"Reeves's Pheasant"	"E"	0	"art"	1240	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	"KFASAN"	"KFASAN"	NA	NA	NA	0
3800	NA	"02051"	NA	"Lille Bjergand x Troldand (hybrid)"	"Aythya affinis x A. fuligula"	"Lesser Scaup x Tufted Duck"	"HU"	0	"hybrid"	880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LLBTRO"	"LLBTRO"	NA	NA	NA	0
3801	NA	"11215"	"11210"	"Husrødstjert, Tien-Shan (ssp. phoenicuroides)"	"Phoenicurus ochruros phoenicuroides"	"Black Redstart (ssp. phoenicuroides)"	"U"	0	"underart"	6570	NA	NA	"NT"	NA	NA	NA	NA	NA	NA	NA	"ØSTHUS"	"ØSTHUS"	NA	NA	NA	0
